file,N,Y,Yl,Yh
cnf/sundermann/systems_software/pc_rltk8139/Knüppel2017.cnf, 10000, 4.21597e+125, -5.41823e+124, 8.97376e+125
cnf/sundermann/systems_software/sh7708/Berger2013.cnf, 10000, 6.09731e+121, 7.79938e+120, 1.14147e+122
cnf/sundermann/systems_software/sh7708/Knüppel2017.cnf, 10000, 1.30043e+123, -1.59109e+123, 4.19196e+123
cnf/sundermann/systems_software/asb2305/Berger2013.cnf, 10000, 8.41031e+128, -2.89568e+128, 1.97163e+129
cnf/sundermann/systems_software/asb2305/Knüppel2017.cnf, 10000, 1.05817e+128, -1.21035e+127, 2.23737e+128
cnf/sundermann/systems_software/Embtoolkit/Berger2013.cnf, 10000, 2.17792e+218, 1.98569e+218, 2.37016e+218
cnf/sundermann/systems_software/Embtoolkit/Knüppel2017.cnf, 10000, 5.07772e+96, 4.86721e+96, 5.28823e+96
cnf/sundermann/systems_software/sparc_erc32/Berger2013.cnf, 10000, 5.02358e+118, -5.173e+118, 1.52202e+119
cnf/sundermann/systems_software/sparc_erc32/Knüppel2017.cnf, 10000, 8.82513e+116, 1.52531e+116, 1.61249e+117
cnf/sundermann/systems_software/at91sam7xek/Berger2013.cnf, 10000, 1.04128e+132, -6.47335e+131, 2.7299e+132
cnf/sundermann/systems_software/at91sam7xek/Knüppel2017.cnf, 10000, 6.90364e+131, -1.13118e+130, 1.39204e+132
cnf/sundermann/systems_software/npwr/Berger2013.cnf, 10000, 4.66973e+126, -1.66674e+126, 1.10062e+127
cnf/sundermann/systems_software/npwr/Knüppel2017.cnf, 10000, 1.61057e+126, -1.81759e+126, 5.03873e+126
cnf/sundermann/systems_software/mpc50/Berger2013.cnf, 10000, 3.35649e+122, -1.02706e+122, 7.74003e+122
cnf/sundermann/systems_software/mpc50/Knüppel2017.cnf, 10000, 2.51179e+120, -7.97335e+118, 5.10332e+120
cnf/sundermann/systems_software/ipaq/Berger2013.cnf, 10000, 4.32354e+122, -5.34451e+121, 9.18152e+122
cnf/sundermann/systems_software/ipaq/Knüppel2017.cnf, 10000, 7.14119e+122, 1.97848e+121, 1.40845e+123
cnf/sundermann/systems_software/moab/Berger2013.cnf, 10000, 4.08167e+127, -2.48368e+127, 1.0647e+128
cnf/sundermann/systems_software/moab/Knüppel2017.cnf, 10000, 6.88456e+127, -3.45046e+127, 1.72196e+128
cnf/sundermann/systems_software/stm3210e_eval/Berger2013.cnf, 10000, 4.73134e+123, -7.72422e+122, 1.02351e+124
cnf/sundermann/systems_software/stm3210e_eval/Knüppel2017.cnf, 10000, 2.03548e+123, 1.02972e+121, 4.06067e+123
cnf/sundermann/systems_software/olpch2294/Berger2013.cnf, 10000, 1.30914e+125, 8.36462e+123, 2.53463e+125
cnf/sundermann/systems_software/olpch2294/Knüppel2017.cnf, 10000, 4.53837e+125, -4.75652e+125, 1.38333e+126
cnf/sundermann/systems_software/snds/Berger2013.cnf, 10000, 1.15725e+123, -3.78624e+122, 2.69313e+123
cnf/sundermann/systems_software/snds/Knüppel2017.cnf, 10000, 6.27496e+122, -3.81076e+122, 1.63607e+123
cnf/sundermann/systems_software/rattler/Berger2013.cnf, 10000, 2.718e+136, -1.52347e+136, 6.95947e+136
cnf/sundermann/systems_software/rattler/Knüppel2017.cnf, 10000, 5.82552e+135, -1.91081e+135, 1.35619e+136
cnf/sundermann/systems_software/stb/Berger2013.cnf, 10000, 3.06314e+129, -1.52278e+129, 7.64906e+129
cnf/sundermann/systems_software/stb/Knüppel2017.cnf, 10000, 9.28203e+128, -2.8245e+128, 2.13886e+129
cnf/sundermann/systems_software/eCos/Berger2013-icse11.cnf, 10000, 1.26754e+125, -9.58555e+122, 2.54466e+125
cnf/sundermann/systems_software/eCos/AlHajjaji2019-i386pc.cnf, 10000, 1.81783e+125, -2.08317e+125, 5.71884e+125
cnf/sundermann/systems_software/sh4_202_md/Berger2013.cnf, 10000, 9.73882e+121, -7.298e+120, 2.02074e+122
cnf/sundermann/systems_software/sh4_202_md/Knüppel2017.cnf, 10000, 4.76885e+122, -3.40515e+122, 1.29428e+123
cnf/sundermann/systems_software/sparc_leon/Berger2013.cnf, 10000, 1.21544e+118, -4.28282e+117, 2.85917e+118
cnf/sundermann/systems_software/sparc_leon/Knüppel2017.cnf, 10000, 2.17522e+119, -2.27557e+119, 6.626e+119
cnf/sundermann/systems_software/phycore229x/Berger2013.cnf, 10000, 2.42049e+136, -2.39783e+136, 7.2388e+136
cnf/sundermann/systems_software/phycore229x/Knüppel2017.cnf, 10000, 9.0722e+135, -1.82911e+135, 1.99735e+136
cnf/sundermann/systems_software/brutus/Berger2013.cnf, 10000, 7.82477e+121, 1.18086e+121, 1.44687e+122
cnf/sundermann/systems_software/brutus/Knüppel2017.cnf, 10000, 2.13473e+121, 3.67003e+119, 4.23276e+121
cnf/sundermann/systems_software/assabet/Berger2013.cnf, 10000, 1.1279e+123, -1.24504e+123, 3.50084e+123
cnf/sundermann/systems_software/assabet/Knüppel2017.cnf, 10000, 5.42249e+124, 3.40558e+122, 1.08109e+125
cnf/sundermann/systems_software/grg/Berger2013.cnf, 10000, 1.20088e+126, -1.01589e+126, 3.41764e+126
