file, #m
r50c200/50.200.196.cnf, 292
r50c200/50.200.249.cnf, 57
r50c200/50.200.296.cnf, 792
r50c200/50.200.101.cnf, 10129
r50c200/50.200.250.cnf, 3674
r50c200/50.200.191.cnf, 745
r50c200/50.200.260.cnf, 1018
r50c200/50.200.42.cnf, 840
r50c200/50.200.83.cnf, 105
r50c200/50.200.146.cnf, 4954
r50c200/50.200.253.cnf, 796
r50c200/50.200.157.cnf, 11216
r50c200/50.200.104.cnf, 2270
r50c200/50.200.136.cnf, 202
r50c200/50.200.184.cnf, 577
r50c200/50.200.268.cnf, 1702
r50c200/50.200.137.cnf, 8
r50c200/50.200.160.cnf, 18
r50c200/50.200.156.cnf, 10985
r50c200/50.200.38.cnf, 344
r50c200/50.200.290.cnf, 2964
r50c200/50.200.159.cnf, 9624
r50c200/50.200.207.cnf, 2165
r50c200/50.200.52.cnf, 75
r50c200/50.200.158.cnf, 10162
r50c200/50.200.236.cnf, 339
r50c200/50.200.170.cnf, 104
r50c200/50.200.73.cnf, 2554
r50c200/50.200.214.cnf, 6888
r50c200/50.200.251.cnf, 13500
r50c200/50.200.77.cnf, 156
r50c200/50.200.75.cnf, 2217
r50c200/50.200.152.cnf, 222
r50c200/50.200.99.cnf, 236
r50c200/50.200.88.cnf, 1565
r50c200/50.200.289.cnf, 14886
r50c200/50.200.183.cnf, 1016
r50c200/50.200.117.cnf, 12
r50c200/50.200.91.cnf, 164
r50c200/50.200.237.cnf, 126
r50c200/50.200.154.cnf, 354
r50c200/50.200.234.cnf, 13315
r50c200/50.200.270.cnf, 9
r50c200/50.200.39.cnf, 646
r50c200/50.200.218.cnf, 132
r50c200/50.200.175.cnf, 658
