file, mod
r30c114/30.114.120.cnf, 0.0898054
r30c114/30.114.175.cnf, 0
r30c114/30.114.41.cnf, 0.128279
r30c114/30.114.34.cnf, 0
r30c114/30.114.113.cnf, 0
r30c114/30.114.81.cnf, 0
r30c114/30.114.286.cnf, 0
r30c114/30.114.115.cnf, 0.0843678
r30c114/30.114.203.cnf, 0
r30c114/30.114.195.cnf, 0
r30c114/30.114.163.cnf, 0.069748
r30c114/30.114.211.cnf, 0
r30c114/30.114.17.cnf, 0
r30c114/30.114.177.cnf, 0
r30c114/30.114.39.cnf, 0
r30c114/30.114.88.cnf, 0
r30c114/30.114.178.cnf, 0
r30c114/30.114.134.cnf, 0
r30c114/30.114.141.cnf, 0
r30c114/30.114.79.cnf, 0
r30c114/30.114.32.cnf, 0
r30c114/30.114.60.cnf, 0
r30c114/30.114.200.cnf, 0
r30c114/30.114.266.cnf, 0
r30c114/30.114.8.cnf, 0
r30c114/30.114.28.cnf, 0
r30c114/30.114.0.cnf, 0.096799
r30c114/30.114.166.cnf, 0.114018
r30c114/30.114.127.cnf, 0
r30c114/30.114.56.cnf, 0
r30c114/30.114.167.cnf, 0
r30c114/30.114.238.cnf, 0
r30c114/30.114.112.cnf, 0
r30c114/30.114.35.cnf, 0
r30c114/30.114.86.cnf, 0
r30c114/30.114.67.cnf, 0
r30c114/30.114.191.cnf, 0
r30c114/30.114.170.cnf, 0
r30c114/30.114.162.cnf, 0.0907754
r30c114/30.114.21.cnf, 0
r30c114/30.114.277.cnf, 0.0956534
r30c114/30.114.18.cnf, 0
r30c114/30.114.37.cnf, 0
r30c114/30.114.187.cnf, 0
r30c114/30.114.188.cnf, 0
r30c114/30.114.180.cnf, 0
r30c114/30.114.55.cnf, 0
r30c114/30.114.104.cnf, 0
r30c114/30.114.201.cnf, 0
r30c114/30.114.246.cnf, 0
r30c114/30.114.73.cnf, 0
r30c114/30.114.272.cnf, 0
r30c114/30.114.160.cnf, 0.0685862
r30c114/30.114.57.cnf, 0
r30c114/30.114.220.cnf, 0
r30c114/30.114.174.cnf, 0.0672344
r30c114/30.114.294.cnf, 0
r30c114/30.114.218.cnf, 0
r30c114/30.114.10.cnf, 0
r30c114/30.114.108.cnf, 0
r30c114/30.114.234.cnf, 0.102647
r30c114/30.114.109.cnf, 0
r30c114/30.114.25.cnf, 0.10817
r30c114/30.114.215.cnf, 0
r30c114/30.114.256.cnf, 0.119456
r30c114/30.114.36.cnf, 0
r30c114/30.114.295.cnf, 0.10776
r30c114/30.114.280.cnf, 0.1146
r30c114/30.114.75.cnf, 0
r30c114/30.114.208.cnf, 0
r30c114/30.114.66.cnf, 0
r30c114/30.114.93.cnf, 0
r30c114/30.114.176.cnf, 0
r30c114/30.114.251.cnf, 0
r30c114/30.114.31.cnf, 0
r30c114/30.114.80.cnf, 0
r30c114/30.114.214.cnf, 0.11876
r30c114/30.114.43.cnf, 0
r30c114/30.114.90.cnf, 0.0882152
r30c114/30.114.105.cnf, 0
r30c114/30.114.161.cnf, 0
r30c114/30.114.247.cnf, 0
r30c114/30.114.69.cnf, 0.0902011
r30c114/30.114.94.cnf, 0
r30c114/30.114.240.cnf, 0.0671831
r30c114/30.114.213.cnf, 0.118173
r30c114/30.114.44.cnf, 0
r30c114/30.114.285.cnf, 0
r30c114/30.114.243.cnf, 0.0789303
r30c114/30.114.46.cnf, 0.0898738
r30c114/30.114.107.cnf, 0.0877535
r30c114/30.114.89.cnf, 0
r30c114/30.114.12.cnf, 0
r30c114/30.114.16.cnf, 0
r30c114/30.114.287.cnf, 0
r30c114/30.114.156.cnf, 0.149007
r30c114/30.114.244.cnf, 0
r30c114/30.114.212.cnf, 0.111607
r30c114/30.114.241.cnf, 0
r30c114/30.114.102.cnf, 0
r30c114/30.114.284.cnf, 0
r30c114/30.114.76.cnf, 0
r30c114/30.114.72.cnf, 0.077853
r30c114/30.114.257.cnf, 0
r30c114/30.114.242.cnf, 0
r30c114/30.114.230.cnf, 0.119609
r30c114/30.114.282.cnf, 0.107914
r30c114/30.114.150.cnf, 0
r30c114/30.114.273.cnf, 0
r30c114/30.114.216.cnf, 0
r30c114/30.114.224.cnf, 0
r30c114/30.114.151.cnf, 0.0730823
r30c114/30.114.143.cnf, 0.116532
r30c114/30.114.4.cnf, 0
r30c114/30.114.153.cnf, 0
r30c114/30.114.5.cnf, 0
r30c114/30.114.121.cnf, 0
